'Assignment group','Business service',Category,Company,'Created Time','Created by','Has Parent',Impact,'Major Problem','Opened by',Priority,Type,Urgency
FXO_SDESK_GLB_ProblemMgmt,Computer,Application,Other,afternoon,ID5069733,False,3,False,'Admin-Arturo Reyes',5,Standard,3
FXS_EIS_GLB_ProblemMgmt,'Communication Device',Application,'FedEx Express',night,Other,True,3,False,'Nivedita Roy',5,ITCC,3
Other,'Communication Device',Application,'FedEx Services',morning,Other,True,3,True,'Nivedita Roy',5,ITCC,3
Other,Server,Application,Other,morning,Other,False,3,False,'Stephen Wolff',5,Standard,3
Other,Server,Application,'FedEx Services',morning,Other,True,3,True,'David Light',5,ITCC,3
FXS_SDESK_GLB_ProblemMgmt,Network,Application,Other,afternoon,ID5069733,False,3,False,'Admin-Arturo Reyes',4,Proactive,2
Other,Server,Application,'FedEx Services',night,ID5163721,True,3,True,'Divakar Durgapal',4,ITCC,2
Other,Server,Application,'FedEx Services',afternoon,ID973921,True,3,True,'Stephen Barch',4,ITCC,2
Other,Computer,Application,Other,afternoon,ID5069733,False,2,False,'Admin-Arturo Reyes',4,ITCC,3
FXO_BR_US_BusinessReadiness,Server,Application,Other,afternoon,ID5069733,False,3,False,'Admin-Arturo Reyes',5,Standard,3
FXO_BR_US_BusinessReadiness,Computer,Application,Other,afternoon,Other,False,2,False,'Matthew Gonderinger',3,Standard,2
Other,Scanner,Application,'FedEx Express',night,ID5163721,True,2,True,'Divakar Durgapal',3,ITCC,2
Other,Server,Application,'FedEx Services',afternoon,ID5305519,True,3,True,'Ashish Bisht',4,ITCC,2
FXS_EIS_GLB_ProblemMgmt,Server,Application,'FedEx Services',afternoon,ID973921,False,3,True,'Stephen Barch',5,ITCC,3
FSC_ITL3O2STIBCO,Database,Application,Other,afternoon,ID5069733,True,3,False,'Admin-Arturo Reyes',5,Standard,3
Other,Server,Application,Other,morning,Other,False,3,False,Other,5,Proactive,3
Other,Other,Application,'FedEx Freight Inc.',night,Other,True,1,True,'Herman Holeyfield',3,ITCC,3
FXS_EIS_GLB_ProblemMgmt,Database,Application,Other,afternoon,ID5069733,False,2,False,'Admin-Arturo Reyes',3,ITCC,2
Other,Server,Application,'FedEx Services',night,ID5163721,False,3,True,'Divakar Durgapal',4,ITCC,2
FSC_ITL3O2STIBCO,Computer,Application,Other,afternoon,ID5069733,False,3,False,'Admin-Arturo Reyes',3,Standard,1
FXS_APSCITL3OMSSTERLING,Database,Application,Other,night,Other,False,3,False,Other,5,Standard,3
FXS_APSCITL3OMSSTERLING,Database,Application,Other,night,Other,False,2,False,Other,4,Standard,3
Other,'Communication Device',Application,'FedEx Freight Inc.',afternoon,ID3667964,True,2,True,'DZundra Green',4,ITCC,3
Other,Server,Application,'FedEx Services',evening,Other,True,3,True,'Anjali Sharma',5,ITCC,3
Other,Computer,Application,Other,afternoon,ID5069733,False,3,False,'Admin-Arturo Reyes',5,Standard,3
FXO_SDESK_GLB_ProblemMgmt,Computer,Application,Other,afternoon,ID5069733,False,3,False,'Admin-Arturo Reyes',5,ITCC,3
Other,Other,Application,'FedEx Express',night,ID5285658,True,1,True,'Shafi Ahmed',2,ITCC,2
Other,Server,Application,'FedEx Services',night,ID3667964,True,3,True,'DZundra Green',5,ITCC,3
Other,Server,Application,'FedEx Services',morning,ID836059,True,3,True,'Khouri Mitchell',5,ITCC,3
Other,Computer,Application,'FedEx Services',afternoon,ID847287,True,3,True,'Logan Simmons',5,ITCC,3
FXO_SDESK_GLB_ProblemMgmt,Computer,Application,Other,afternoon,ID5069733,False,3,False,'Admin-Arturo Reyes',5,Standard,3
Other,Server,Application,'FedEx Express',night,ID5163721,True,3,True,'Divakar Durgapal',5,ITCC,3
Other,Server,Application,'FedEx Services',evening,ID3667964,True,3,True,'DZundra Green',5,ITCC,3
Other,Server,Application,'FedEx Services',evening,ID3667964,True,2,True,'DZundra Green',3,ITCC,2
Other,Mainframe,Application,Other,afternoon,ID5069733,False,3,False,'Admin-Arturo Reyes',5,Standard,3
FXO_SDESK_GLB_ProblemMgmt,Computer,Application,Other,afternoon,ID5069733,False,3,False,'Admin-Arturo Reyes',5,Standard,3
Other,Server,Application,'FedEx Services',evening,Other,True,1,True,'Sean Green',2,ITCC,2
FXS_EIS_GLB_ProblemMgmt,Server,Application,'TNT Express',afternoon,ID3667964,True,3,True,'DZundra Green',5,ITCC,3
FXS_EIS_GLB_ProblemMgmt,Server,Application,'FedEx Services',morning,ID847287,True,3,True,'Logan Simmons',5,ITCC,3
Other,Other,Application,'FedEx Services',night,ID5163721,True,1,True,'Divakar Durgapal',1,ITCC,1
FXO_SDESK_GLB_ProblemMgmt,Database,Application,Other,afternoon,ID5069733,False,3,False,'Admin-Arturo Reyes',5,Proactive,3
FXS_EIS_GLB_ProblemMgmt,Mainframe,Application,'FedEx Express',afternoon,ID973921,False,3,True,'Stephen Barch',5,ITCC,3
Other,Other,Application,'FedEx Services',night,ID5163721,True,1,True,'Divakar Durgapal',3,ITCC,3
FSC_ITL3O2STIBCO,Server,Application,Other,morning,Other,True,3,False,'Naveen Kumar',4,Standard,2
FXS_APSCITL3OMSSTERLING,Database,Application,Other,night,Other,True,3,False,'Sathya Easwaran',5,Standard,3
FXO_SDESK_GLB_ProblemMgmt,Computer,Application,Other,afternoon,ID5069733,False,3,False,'Admin-Arturo Reyes',5,Standard,3
FXS_EIS_GLB_ProblemMgmt,Server,Application,'FedEx Services',afternoon,ID3667964,True,3,True,'DZundra Green',5,ITCC,3
Other,Server,Application,'FedEx Services',night,Other,True,2,True,'Nivedita Roy',4,ITCC,3
FXO_SDESK_GLB_ProblemMgmt,Computer,Application,Other,afternoon,ID5069733,False,3,False,'Admin-Arturo Reyes',5,Standard,3
FXS_WASDRATINGTRACKING,Computer,Application,Other,afternoon,ID5069733,False,2,False,'Admin-Arturo Reyes',4,ITCC,3
FSC_L3WMSSTERLINGLOFT,Computer,Application,Other,afternoon,ID5069733,False,2,False,'Admin-Arturo Reyes',3,Standard,2
Other,Computer,Application,Other,afternoon,Other,False,3,False,Other,5,Proactive,3
FXS_EIS_GLB_ProblemMgmt,Server,Application,Other,afternoon,ID5069733,False,3,False,'Admin-Arturo Reyes',4,ITCC,2
Other,Server,Application,'FedEx Express',night,ID5163721,True,1,True,'Divakar Durgapal',2,ITCC,2
Other,Server,Application,'FedEx Services',morning,ID847287,True,1,True,'Logan Simmons',2,ITCC,2
FXS_EIS_GLB_ProblemMgmt,Other,Application,'FedEx Services',night,ID5285658,True,3,True,'Shafi Ahmed',5,ITCC,3
Other,'Communication Device',Application,'FedEx Express',morning,ID5285658,True,3,False,'Shafi Ahmed',5,Standard,3
FXS_EIS_GLB_ProblemMgmt,Server,Application,'FedEx Services',morning,Other,True,2,True,'Brad Moore',4,ITCC,3
FXO_SDESK_GLB_ProblemMgmt,Computer,Application,Other,afternoon,ID5069733,False,3,False,'Admin-Arturo Reyes',5,Standard,3
FXS_SDESK_GLB_ProblemMgmt,Computer,Application,Other,afternoon,ID5069733,False,3,False,'Admin-Arturo Reyes',5,Standard,3
FXS_EIS_GLB_ProblemMgmt,Server,Application,'FedEx Services',afternoon,Other,True,2,True,'Brad Moore',4,ITCC,3
FSC_ITL3O2STIBCO,Computer,Application,Other,afternoon,ID5069733,True,2,False,'Admin-Arturo Reyes',3,Standard,2
FXO_BR_US_BusinessReadiness,Server,Application,Other,afternoon,ID5069733,False,3,False,'Admin-Arturo Reyes',5,Standard,3
Other,Server,Application,'FedEx Services',night,ID3667964,True,3,True,'DZundra Green',5,ITCC,3
FSC_L3WMSSTERLINGLOFT,Computer,Application,Other,morning,Other,True,3,False,'Naveen Kumar',5,Standard,3
Other,Server,Application,'FedEx Express',afternoon,ID847287,True,3,True,'Logan Simmons',5,ITCC,3
Other,Computer,Application,'FedEx Express',morning,ID836059,True,3,True,'Khouri Mitchell',4,ITCC,2
FXS_EIS_GLB_ProblemMgmt,Server,Application,Other,afternoon,ID5069733,False,2,False,'Admin-Arturo Reyes',3,ITCC,2
Other,Server,Application,'FedEx Services',morning,Other,True,3,True,'Herman Holeyfield',5,ITCC,3
Other,Server,Application,Other,afternoon,ID5069733,False,2,False,'Admin-Arturo Reyes',4,ITCC,3
Other,Server,Application,'FedEx Services',afternoon,ID973921,True,3,True,'Stephen Barch',5,ITCC,3
Other,Computer,Application,Other,afternoon,ID5069733,False,3,False,'Admin-Arturo Reyes',5,Standard,3
FXO_SDESK_GLB_ProblemMgmt,Computer,Application,Other,afternoon,ID5069733,False,1,False,'Admin-Arturo Reyes',2,Standard,2
Other,Network,Application,'FedEx Services',night,Other,True,3,True,'Sean Green',5,ITCC,3
FSC_L3WMSSTERLINGLOFT,Other,Application,Other,afternoon,Other,False,3,False,'Naveen Kumar',5,Standard,3
Other,Server,Application,'FedEx Services',morning,Other,True,1,True,'Brad Moore',3,ITCC,3
Other,Scanner,Application,Other,morning,Other,False,3,False,'Michael Olton',5,Standard,3
FXO_SDESK_GLB_ProblemMgmt,Other,Application,Other,afternoon,ID5069733,False,3,False,'Admin-Arturo Reyes',4,Standard,2
Other,Server,Application,Other,morning,Other,False,3,False,Other,5,Standard,3
FXS_EIS_GLB_ProblemMgmt,Computer,Application,'FedEx Express',morning,Other,True,3,True,'David Light',5,ITCC,3
Other,Server,Application,'FedEx Services',evening,Other,True,2,True,'Mandeep Khati',4,ITCC,3
Other,Computer,Application,'FedEx Freight Inc.',morning,Other,True,3,True,'David Light',5,ITCC,3
FXS_EIS_GLB_ProblemMgmt,Mainframe,Application,'FedEx Services',morning,ID973921,False,3,True,'Stephen Barch',5,ITCC,3
FSC_ITL3O2STIBCO,Computer,Application,Other,morning,Other,False,3,False,'Naveen Kumar',5,Standard,3
FXS_WASDRATINGTRACKING,Server,Application,'FedEx Services',morning,ID847287,True,2,True,'Logan Simmons',4,ITCC,3
FXS_APSCITL3OMSSTERLING,Database,Application,Other,night,Other,True,3,False,'Sathya Easwaran',5,Standard,3
FSC_L3WMSSTERLINGLOFT,Computer,Application,Other,afternoon,ID5069733,False,2,False,'Admin-Arturo Reyes',3,Standard,2
FXO_SDESK_GLB_ProblemMgmt,Other,Application,Other,afternoon,ID5069733,False,3,False,'Admin-Arturo Reyes',5,Standard,3
Other,Server,Application,'FedEx Services',morning,Other,True,2,True,'Brad Moore',4,ITCC,3
FXS_APSCITL3OMSSTERLING,Database,Application,Other,night,Other,False,3,False,Other,5,Standard,3
Other,Server,Application,'FedEx Services',night,Other,True,3,True,'Nivedita Roy',4,ITCC,2
FXO_SDESK_GLB_ProblemMgmt,Computer,Application,Other,afternoon,ID5069733,False,2,False,'Admin-Arturo Reyes',3,Standard,2
FXO_SDESK_GLB_ProblemMgmt,Computer,Application,Other,afternoon,ID5069733,False,2,False,'Admin-Arturo Reyes',4,Other,3
Other,Computer,Application,Other,morning,Other,False,3,False,'Michael Olton',5,Standard,3
Other,Server,Application,'FedEx Services',evening,ID3667964,True,3,True,'DZundra Green',5,ITCC,3
Other,Server,Application,'FedEx Services',morning,ID5163721,True,3,True,'Divakar Durgapal',5,ITCC,3
Other,Server,Application,'FedEx Express',night,Other,True,2,True,'Marconius Donahue',4,ITCC,3
FXO_SDESK_GLB_ProblemMgmt,Computer,Application,Other,afternoon,ID5069733,False,3,False,'Admin-Arturo Reyes',5,ITCC,3
Other,Computer,Application,Other,afternoon,ID5069733,False,3,False,'Admin-Arturo Reyes',5,Standard,3
FSC_ITL3O2STIBCO,Computer,Application,Other,afternoon,ID5069733,False,3,False,'Admin-Arturo Reyes',5,Standard,3
FXO_SDESK_GLB_ProblemMgmt,Computer,Application,Other,afternoon,ID5069733,False,3,False,'Admin-Arturo Reyes',5,Standard,3
Other,Database,Application,'FedEx Services',morning,Other,True,3,True,'Brad Moore',5,ITCC,3
FXO_SDESK_GLB_ProblemMgmt,Computer,Application,Other,afternoon,ID5069733,False,1,False,'Admin-Arturo Reyes',2,Standard,2
FXO_SDESK_GLB_ProblemMgmt,Computer,Application,Other,afternoon,ID5069733,False,2,False,'Admin-Arturo Reyes',3,Standard,2
Other,Network,Application,'FedEx Services',night,Other,True,3,True,'Sean Green',5,ITCC,3
FXO_SDESK_GLB_ProblemMgmt,Computer,Application,Other,afternoon,ID5069733,False,2,False,'Admin-Arturo Reyes',4,Other,3
Other,Server,Application,'FedEx Express',evening,ID3667964,True,3,True,'DZundra Green',4,ITCC,2
FXO_SDESK_GLB_ProblemMgmt,Computer,Application,Other,afternoon,ID5069733,False,3,False,'Admin-Arturo Reyes',5,Standard,3
Other,Other,Application,'FedEx Services',morning,ID973921,True,2,True,'Stephen Barch',3,ITCC,2
FXS_EIS_GLB_ProblemMgmt,Server,Application,Other,afternoon,ID5069733,False,3,False,'Admin-Arturo Reyes',4,ITCC,2
FXS_EIS_GLB_ProblemMgmt,Server,Application,'FedEx Express',morning,Other,True,3,False,'Nivedita Roy',5,ITCC,3
Other,Network,Application,'FedEx Services',morning,Other,True,3,True,'Mandeep Khati',4,ITCC,2
Other,Server,Application,'FedEx Services',evening,ID5305519,True,3,True,'Ashish Bisht',4,ITCC,2
Other,Scanner,Application,Other,morning,Other,False,3,False,'Michael Olton',5,Standard,3
Other,Network,Application,'FedEx Services',morning,Other,True,3,True,'Mandeep Khati',4,ITCC,2
FXS_APSCITL3OMSSTERLING,Database,Application,Other,night,Other,False,3,False,Other,5,Standard,3
FXS_SDESK_GLB_ProblemMgmt,Computer,Application,Other,afternoon,ID5069733,False,3,False,'Admin-Arturo Reyes',5,Standard,3
Other,Server,Application,'FedEx Services',night,ID5305519,True,3,True,'Ashish Bisht',5,ITCC,3
Other,Server,Application,'FedEx Services',evening,ID3667964,True,3,True,'DZundra Green',5,ITCC,3
Other,Database,Application,Other,morning,Other,False,3,False,'Sathya Easwaran',5,Standard,3
FSC_L3WMSSTERLINGLOFT,Computer,Application,Other,afternoon,ID5069733,False,2,False,'Admin-Arturo Reyes',3,Standard,2
FXS_EIS_GLB_ProblemMgmt,Computer,Application,'FedEx Express',afternoon,ID973921,True,3,True,'Stephen Barch',5,ITCC,3
FXS_EIS_GLB_ProblemMgmt,Mainframe,Application,Other,afternoon,ID5069733,False,3,False,'Admin-Arturo Reyes',3,ITCC,1
FXS_SDESK_GLB_ProblemMgmt,Network,Application,Other,afternoon,ID5069733,False,3,False,'Admin-Arturo Reyes',4,Proactive,2
Other,Scanner,Application,Other,morning,Other,False,3,False,'Michael Olton',5,Standard,3
FXO_SDESK_GLB_ProblemMgmt,Computer,Hardware,Other,afternoon,ID5069733,False,3,False,'Admin-Arturo Reyes',5,Standard,3
Other,Network,Hardware,'FedEx Services',evening,ID5305519,True,2,True,'Ashish Bisht',4,ITCC,3
Other,Server,Hardware,'FedEx Services',afternoon,ID973921,False,3,True,'Stephen Barch',4,ITCC,2
Other,Server,Hardware,'FedEx Services',evening,Other,True,3,True,'Marconius Donahue',5,ITCC,3
Other,Server,Hardware,'FedEx Services',afternoon,ID5305519,True,3,True,'Ashish Bisht',4,ITCC,2
Other,Scanner,Hardware,'FedEx Express',night,ID5285658,True,2,True,'Shafi Ahmed',3,ITCC,2
Other,Server,Hardware,'FedEx Services',afternoon,ID973921,False,3,True,'Stephen Barch',4,ITCC,2
Other,Network,Hardware,'FedEx Services',evening,ID3667964,True,3,True,'DZundra Green',5,ITCC,3
FXS_EIS_GLB_ProblemMgmt,Server,Hardware,'FedEx Services',afternoon,ID5163721,True,3,True,'Divakar Durgapal',5,ITCC,3
FXS_WASDRATINGTRACKING,Server,Hardware,'FedEx Services',evening,Other,True,2,True,'Anjali Sharma',3,ITCC,2
FXO_SDESK_GLB_ProblemMgmt,Server,Hardware,Other,afternoon,Other,False,2,False,Other,3,Standard,2
FXO_SDESK_GLB_ProblemMgmt,Computer,Hardware,Other,afternoon,ID5069733,False,2,False,'Admin-Arturo Reyes',3,Standard,2
FXS_EIS_GLB_ProblemMgmt,Server,Hardware,'FedEx Express',night,Other,True,3,True,'Sandrina Khongjee',5,ITCC,3
FXS_EIS_GLB_ProblemMgmt,'Communication Device',Hardware,'FedEx Services',night,ID3667964,True,3,True,'DZundra Green',5,ITCC,3
FXS_EIS_GLB_ProblemMgmt,Server,Hardware,'FedEx Ground',morning,Other,True,3,True,'Mandeep Khati',5,ITCC,3
FXO_SDESK_GLB_ProblemMgmt,Other,Hardware,Other,afternoon,ID5069733,False,3,False,'Admin-Arturo Reyes',5,Standard,3
Other,Mainframe,Hardware,Other,morning,Other,False,3,False,'Stephen Wolff',5,Standard,3
FXO_SDESK_GLB_ProblemMgmt,Scanner,Hardware,Other,afternoon,ID5069733,False,2,False,'Admin-Arturo Reyes',3,Standard,2
Other,Server,Hardware,'FedEx Ground',morning,Other,True,3,True,'Nivedita Roy',5,ITCC,3
FXS_EIS_GLB_ProblemMgmt,Server,Hardware,'FedEx Services',morning,ID5285658,True,3,True,'Shafi Ahmed',5,ITCC,3
FXS_EIS_GLB_ProblemMgmt,Computer,Hardware,'FedEx Express',afternoon,ID5305519,True,2,True,'Ashish Bisht',2,ITCC,1
FXS_EIS_GLB_ProblemMgmt,Server,Hardware,'FedEx Services',afternoon,Other,True,3,True,'Mandeep Khati',5,ITCC,3
FXS_EIS_GLB_ProblemMgmt,Computer,Hardware,'FedEx Ground',morning,ID973921,True,3,True,'Stephen Barch',5,ITCC,3
FXO_SDESK_GLB_ProblemMgmt,Other,Hardware,Other,afternoon,Other,False,3,False,'Greg Malek',5,Standard,3
Other,Server,Hardware,'FedEx Express',evening,ID5305519,True,3,True,'Ashish Bisht',4,ITCC,2
FXS_EIS_GLB_ProblemMgmt,Computer,Hardware,Other,morning,ID5285658,True,3,True,'Shafi Ahmed',5,ITCC,3
FXO_SDESK_GLB_ProblemMgmt,Computer,Hardware,Other,afternoon,ID5069733,False,3,False,'Admin-Arturo Reyes',5,Standard,3
FXO_SDESK_GLB_ProblemMgmt,Computer,Hardware,Other,afternoon,ID5069733,False,2,False,'Admin-Arturo Reyes',3,Standard,2
FXS_EIS_GLB_ProblemMgmt,Database,Hardware,'FedEx Office',night,ID3667964,True,2,True,'DZundra Green',3,ITCC,2
Other,Network,Hardware,Other,afternoon,ID5069733,False,3,False,'Admin-Arturo Reyes',5,ITCC,3
Other,Server,Hardware,'FedEx Services',afternoon,ID973921,False,3,True,'Stephen Barch',4,ITCC,2
Other,Database,Hardware,'FedEx Services',morning,ID5285658,True,3,True,'Shafi Ahmed',5,ITCC,3
FXO_SDESK_GLB_ProblemMgmt,Computer,Hardware,Other,afternoon,ID5069733,False,3,False,'Admin-Arturo Reyes',5,Standard,3
Other,'Communication Device',Hardware,'FedEx Services',morning,ID836059,True,2,True,'Khouri Mitchell',3,ITCC,2
Other,Network,Hardware,Other,afternoon,ID5069733,False,1,False,'Admin-Arturo Reyes',1,Standard,1
Other,Network,Hardware,'FedEx Services',morning,ID5163721,True,3,True,'Divakar Durgapal',5,Other,3
Other,Scanner,Hardware,'FedEx Ground',morning,ID973921,True,3,True,'Stephen Barch',5,ITCC,3
FXO_SDESK_GLB_ProblemMgmt,Computer,Hardware,Other,afternoon,ID5069733,False,2,False,'Admin-Arturo Reyes',3,Standard,2
Other,Network,Hardware,'FedEx Express',night,ID5163721,True,3,True,'Divakar Durgapal',5,ITCC,3
FXO_SDESK_GLB_ProblemMgmt,Computer,Hardware,Other,afternoon,ID5069733,False,3,False,'Admin-Arturo Reyes',5,Standard,3
FXS_EIS_GLB_ProblemMgmt,Server,Hardware,'FedEx Services',afternoon,ID973921,True,3,True,'Stephen Barch',5,ITCC,3
Other,Database,Hardware,'FedEx Express',afternoon,ID3667964,True,2,True,'DZundra Green',4,ITCC,3
Other,Server,Hardware,Other,afternoon,Other,False,1,True,Other,1,Standard,1
FXS_EIS_GLB_ProblemMgmt,'Communication Device',Hardware,'FedEx Services',night,ID5285658,True,3,True,'Shafi Ahmed',5,ITCC,3
FXS_EIS_GLB_ProblemMgmt,Server,Hardware,'FedEx Services',afternoon,ID847287,True,2,True,'Logan Simmons',3,ITCC,2
FXS_EIS_GLB_ProblemMgmt,Server,Hardware,'TNT Express',afternoon,ID973921,True,3,True,'Stephen Barch',5,ITCC,3
FXS_EIS_GLB_ProblemMgmt,Network,Hardware,'FedEx Services',evening,ID3667964,True,3,True,'DZundra Green',5,ITCC,3
Other,Server,Hardware,'FedEx Services',morning,ID847287,True,3,True,'Logan Simmons',5,ITCC,3
FXS_EIS_GLB_ProblemMgmt,Scanner,Hardware,'FedEx Ground',morning,ID973921,True,3,True,'Stephen Barch',5,ITCC,3
FXO_SDESK_GLB_ProblemMgmt,Computer,Hardware,Other,afternoon,ID5069733,False,3,False,'Admin-Arturo Reyes',5,Standard,3
Other,Mainframe,Hardware,Other,morning,Other,False,3,False,'Stephen Wolff',5,Standard,3
Other,Computer,Hardware,'FedEx Ground',morning,Other,True,3,True,'Nivedita Roy',5,ITCC,3
FXS_EIS_GLB_ProblemMgmt,Computer,Hardware,'FedEx Freight Inc.',night,ID5163721,True,3,True,'Divakar Durgapal',5,ITCC,3
FXO_SDESK_GLB_ProblemMgmt,Computer,Hardware,Other,afternoon,ID5069733,False,3,False,'Admin-Arturo Reyes',5,Standard,3
FXO_SDESK_GLB_ProblemMgmt,Computer,Hardware,Other,afternoon,ID5069733,False,3,False,'Admin-Arturo Reyes',5,Standard,3
Other,Computer,Hardware,'FedEx Services',morning,ID836059,True,3,True,'Khouri Mitchell',3,ITCC,1
FXS_EIS_GLB_ProblemMgmt,'Communication Device',Hardware,'FedEx Express',night,ID5163721,True,3,True,'Divakar Durgapal',5,ITCC,3
Other,Scanner,Hardware,'FedEx Ground',morning,Other,True,3,False,Other,5,Standard,3
Other,Database,Hardware,'FedEx Ground',morning,ID847287,True,3,True,'Logan Simmons',5,Standard,3
FXS_EIS_GLB_ProblemMgmt,Server,Hardware,'FedEx Services',afternoon,ID973921,True,3,True,'Stephen Barch',5,ITCC,3
FXO_BR_US_BusinessReadiness,Scanner,Hardware,Other,morning,Other,False,2,False,'Matthew Gonderinger',2,Standard,1
Other,Computer,Hardware,Other,afternoon,ID5069733,False,3,False,'Admin-Arturo Reyes',4,ITCC,2
Other,Database,Hardware,'FedEx Ground',afternoon,ID847287,True,3,True,'Logan Simmons',5,ITCC,3
Other,Database,Hardware,'FedEx Services',morning,ID973921,True,3,True,'Stephen Barch',5,ITCC,3
FXO_SDESK_GLB_ProblemMgmt,Other,Hardware,Other,afternoon,ID5069733,False,3,False,'Admin-Arturo Reyes',5,Proactive,3
FXS_EIS_GLB_ProblemMgmt,'Communication Device',Hardware,'FedEx Express',morning,Other,True,3,True,'Mandeep Khati',5,ITCC,3
FXS_EIS_GLB_ProblemMgmt,Computer,Hardware,'FedEx Freight Inc.',night,ID5163721,True,3,True,'Divakar Durgapal',5,ITCC,3
Other,Server,Hardware,'FedEx Services',afternoon,ID5305519,True,3,True,'Ashish Bisht',5,ITCC,3
FXS_WASDRATINGTRACKING,Server,Hardware,'FedEx Services',morning,ID847287,True,2,True,'Logan Simmons',3,ITCC,2
Other,Mainframe,Hardware,'FedEx Express',afternoon,ID973921,True,3,True,'Stephen Barch',3,ITCC,1
FXO_SDESK_GLB_ProblemMgmt,Scanner,Hardware,Other,afternoon,ID5069733,False,2,False,'Admin-Arturo Reyes',3,Standard,2
FXS_EIS_GLB_ProblemMgmt,'Communication Device',Hardware,'FedEx Services',morning,Other,True,3,True,'Mandeep Khati',5,ITCC,3
Other,Database,Hardware,'FedEx Services',evening,ID3667964,True,3,True,'DZundra Green',4,ITCC,2
Other,Network,Hardware,'FedEx Services',afternoon,Other,True,3,True,'Sean Green',5,ITCC,3
FXS_EIS_GLB_ProblemMgmt,Server,Hardware,'FedEx Services',afternoon,ID5163721,True,3,True,'Divakar Durgapal',5,ITCC,3
FXS_EIS_GLB_ProblemMgmt,Server,Hardware,'FedEx Services',evening,ID5305519,True,2,True,'Ashish Bisht',3,ITCC,2
FXS_EIS_GLB_ProblemMgmt,Server,Hardware,'FedEx Express',evening,ID3667964,True,3,True,'DZundra Green',5,ITCC,3
Other,Server,Hardware,'FedEx Ground',night,ID5163721,True,2,True,'Divakar Durgapal',3,ITCC,2
Other,Network,Hardware,'FedEx Services',morning,ID5285658,True,3,True,'Shafi Ahmed',5,Standard,3
FXS_EIS_GLB_ProblemMgmt,Server,Hardware,'FedEx Express',night,ID5163721,True,3,True,'Divakar Durgapal',5,ITCC,3
FXS_EIS_GLB_ProblemMgmt,Scanner,Hardware,'FedEx Ground',morning,ID973921,True,3,True,'Stephen Barch',5,ITCC,3
FXO_SDESK_GLB_ProblemMgmt,Computer,Hardware,Other,afternoon,ID5069733,False,3,False,'Admin-Arturo Reyes',5,Standard,3
FXS_EIS_GLB_ProblemMgmt,Server,Hardware,'FedEx Services',afternoon,ID973921,True,3,False,'Stephen Barch',5,ITCC,3
FXS_EIS_GLB_ProblemMgmt,Computer,Hardware,Other,morning,ID5285658,True,3,True,'Shafi Ahmed',5,ITCC,3
FXS_EIS_GLB_ProblemMgmt,Server,Hardware,'FedEx Services',night,ID5163721,True,3,True,'Divakar Durgapal',5,ITCC,3
FXO_SDESK_GLB_ProblemMgmt,Scanner,Hardware,Other,afternoon,ID5069733,False,2,False,'Admin-Arturo Reyes',3,Standard,2
FXO_SDESK_GLB_ProblemMgmt,Server,Hardware,Other,afternoon,Other,False,3,False,Other,5,Standard,3
FXO_SDESK_GLB_ProblemMgmt,Other,Hardware,Other,morning,Other,False,3,False,'Greg Malek',5,Standard,3
FXO_SDESK_GLB_ProblemMgmt,Computer,Hardware,Other,afternoon,ID5069733,False,3,False,'Admin-Arturo Reyes',5,Standard,3
Other,Network,Hardware,'FedEx Services',afternoon,Other,True,3,True,'Sean Green',5,ITCC,3
Other,Other,Hardware,Other,afternoon,ID5069733,False,3,False,'Admin-Arturo Reyes',5,ITCC,3
FXO_SDESK_GLB_ProblemMgmt,Computer,Hardware,Other,afternoon,ID5069733,False,3,False,'Admin-Arturo Reyes',5,Standard,3
Other,Server,Hardware,'FedEx Services',morning,ID973921,True,3,True,'Stephen Barch',3,ITCC,1
Other,Scanner,Hardware,'FedEx Ground',morning,Other,True,3,False,Other,5,Standard,3
Other,Server,Hardware,'FedEx Services',night,ID3667964,True,3,True,'DZundra Green',3,ITCC,1
FXS_EIS_GLB_ProblemMgmt,Database,Hardware,'FedEx Ground',night,Other,True,3,True,'Sandrina Khongjee',5,ITCC,3
FXO_SDESK_GLB_ProblemMgmt,Computer,Hardware,Other,afternoon,ID5069733,False,3,False,'Admin-Arturo Reyes',5,Standard,3
Other,Computer,Hardware,Other,afternoon,ID5069733,False,3,False,'Admin-Arturo Reyes',5,ITCC,3
Other,Server,Hardware,'FedEx Express',morning,ID5285658,True,3,True,'Shafi Ahmed',4,Standard,2
FXS_EIS_GLB_ProblemMgmt,Server,Hardware,'FedEx Services',evening,ID5305519,True,2,True,'Ashish Bisht',3,ITCC,2
FXS_SDESK_GLB_ProblemMgmt,Computer,Hardware,Other,afternoon,ID5069733,False,3,False,'Admin-Arturo Reyes',5,Proactive,3
FXS_EIS_GLB_ProblemMgmt,Computer,Hardware,'FedEx Express',night,ID5163721,True,3,True,'Divakar Durgapal',5,ITCC,3
FXO_SDESK_GLB_ProblemMgmt,Computer,Hardware,Other,afternoon,ID5069733,False,3,False,'Admin-Arturo Reyes',5,Standard,3
FXO_SDESK_GLB_ProblemMgmt,Scanner,Hardware,Other,afternoon,ID5069733,False,2,False,'Admin-Arturo Reyes',3,Standard,2
Other,Server,Hardware,'FedEx Services',night,ID5305519,True,3,True,'Ashish Bisht',4,ITCC,2
FXS_EIS_GLB_ProblemMgmt,'Communication Device',Hardware,'FedEx Services',night,ID5285658,True,3,True,'Shafi Ahmed',5,ITCC,3
